method,checkpoint,task_name,seed,sparsity_target,sparsity_actual,recovery_epochs,accuracy,f1,acc_with_recovery,f1_with_recovery
pruning,bert-base-uncased,ag_news,42,0.27,0.269735976810903,0,0.9455263157894737,0.9454854136577626,,
pruning,bert-base-uncased,ag_news,42,0.28,0.27972620379831314,0,0.9451315789473684,0.9451065067959277,,
pruning,bert-base-uncased,ag_news,42,0.29,0.2897164191050178,0,0.9453947368421053,0.9453806586043312,,
pruning,bert-base-uncased,ag_news,42,0.3,0.2997066460924279,0,0.9455263157894737,0.9455025674886679,,
pruning,bert-base-uncased,ag_news,42,0.31,0.30969686139913266,0,0.9460526315789474,0.946002047523425,,
pruning,bert-base-uncased,ag_news,42,0.32,0.3196870883865428,0,0.9452631578947368,0.9451811078335441,,
pruning,bert-base-uncased,ag_news,42,0.33,0.32967730369324744,0,0.9451315789473684,0.9450551618626095,,
pruning,bert-base-uncased,ag_news,42,0.34,0.3396675306806576,0,0.9447368421052632,0.944685602241047,,
pruning,bert-base-uncased,ag_news,42,0.35,0.3496577459873623,0,0.9436842105263158,0.9436355381447037,,
pruning,bert-base-uncased,ag_news,42,0.36,0.35964797297477247,0,0.944078947368421,0.9440170854342584,,
pruning,bert-base-uncased,ag_news,42,0.37,0.3696381882814771,0,0.9436842105263158,0.9436016490430146,,
pruning,bert-base-uncased,ag_news,42,0.38,0.37962841526888724,0,0.9415789473684211,0.9414403228420809,,
pruning,bert-base-uncased,ag_news,42,0.39,0.389618630575592,0,0.9418421052631579,0.9417101719190084,,
pruning,bert-base-uncased,ag_news,42,0.4,0.39960885756300213,0,0.9382894736842106,0.9380485426885813,,
pruning,bert-base-uncased,ag_news,42,0.41,0.40959907286970687,0,0.9369736842105263,0.936703915429042,,
pruning,bert-base-uncased,ag_news,42,0.42,0.4195892998571169,0,0.9361842105263158,0.9358865952732974,,
pruning,bert-base-uncased,ag_news,42,0.43,0.42957951516382165,0,0.935921052631579,0.9356399317987372,,
pruning,bert-base-uncased,ag_news,42,0.44,0.4395697421512318,0,0.9346052631578947,0.9342650919958508,,
pruning,bert-base-uncased,ag_news,42,0.45,0.44955995745793653,0,0.9331578947368421,0.9328297042600203,,
pruning,bert-base-uncased,ag_news,42,0.46,0.45955018444534657,0,0.9303947368421053,0.9300105338084097,,
pruning,bert-base-uncased,ag_news,42,0.47,0.4695403997520513,0,0.9296052631578947,0.9292150183566215,,
pruning,bert-base-uncased,ag_news,42,0.48,0.47953062673946145,0,0.9310526315789474,0.9307294365578878,,
pruning,bert-base-uncased,ag_news,42,0.49,0.4895208420461662,0,0.9269736842105263,0.9266830736156165,,
pruning,bert-base-uncased,ag_news,42,0.5,0.4995110690335762,0,0.9261842105263158,0.9258713312374647,,
pruning,bert-base-uncased,ag_news,42,0.51,0.5095012960209864,0,0.9226315789473685,0.9222414380651578,,
pruning,bert-base-uncased,ag_news,42,0.52,0.5194915113276911,0,0.9153947368421053,0.9146709875844192,,
pruning,bert-base-uncased,ag_news,42,0.53,0.5294817383151013,0,0.9098684210526315,0.9092305668545593,,
pruning,bert-base-uncased,ag_news,42,0.54,0.539471953621806,0,0.9026315789473685,0.9019332536857675,,
pruning,bert-base-uncased,ag_news,42,0.55,0.5494621806092161,0,0.8943421052631579,0.8935553642042982,,
pruning,bert-base-uncased,ag_news,42,0.56,0.5594523959159208,0,0.885,0.8840230562015501,,
pruning,bert-base-uncased,ag_news,42,0.57,0.5694426229033309,0,0.8614473684210526,0.8594926164266002,,
pruning,bert-base-uncased,ag_news,42,0.58,0.5794328382100356,0,0.8007894736842105,0.78897270282322,,
pruning,bert-base-uncased,ag_news,42,0.59,0.5894230651974457,0,0.7617105263157895,0.7323285687742089,,
pruning,bert-base-uncased,ag_news,42,0.6,0.5994132805041504,0,0.6992105263157895,0.6343086532687191,,
pruning,bert-base-uncased,ag_news,42,0.61,0.6094035074915606,0,0.6926315789473684,0.6342910507183297,,
